Contact Person,DOB,Phone No.,Enterprise Name,Legal Structure,Business PAN,GSTIN,Udyam Reg. No.,District,State
Siddharth Gupta,09-09-2002,+91 71429 87691,BlueCraft Solar Solutions LLP,LLP,DLJFB4154T,24DLJFB4154T3ZE,UDYAM-GJ-28-7292883,Surat,Gujarat
Meera Mehta,06-06-1976,+91 92448 79861,EcoClean Techno Fab Enterprises,Enterprises,BMEPM8165X,24BMEPM8165X4ZI,UDYAM-GJ-05-3534370,Ahmedabad,Gujarat
Pooja Verma,10-04-1983,+91 91380 18065,BlueCraft Textiles LLP,LLP,LXBFB3868B,24LXBFB3868B3ZC,UDYAM-GJ-20-8615218,Vadodara,Gujarat
Siddharth Iyer,24-04-1975,+91 76182 39823,Apex Solar Solutions Enterprises,Enterprises,OTPPI1185W,32OTPPI1185W6Z9,UDYAM-KL-26-5092559,Thiruvananthapuram,Kerala
Aarav Das,08-02-1995,+91 76946 44089,BlueCraft Infotech LLP,LLP,FTRFB3851D,24FTRFB3851D7ZD,UDYAM-GJ-05-1535604,Rajkot,Gujarat
Rahul Kulkarni,02-10-1988,+91 90632 60487,Matrix Techno Fab Enterprises,Enterprises,FWTPK2084L,23FWTPK2084L5Z9,UDYAM-MP-11-6200013,Indore,Madhya Pradesh
Priya Reddy,08-02-1968,+91 75965 08241,Vanguard Infotech LLP,LLP,VCWFV4019E,09VCWFV4019E1Z2,UDYAM-UP-35-2523998,Noida,Uttar Pradesh
Aarav Reddy,29-12-1989,+91 80739 29055,Pioneer Plastics Enterprises,Enterprises,XYTPR1845H,27XYTPR1845H5Z0,UDYAM-MH-26-1673737,Pune,Maharashtra
Gaurav Chatterjee,04-06-1990,+91 75480 09968,Surya Agro Mills LLP,LLP,AGCFS6515J,36AGCFS6515J5ZS,UDYAM-TS-13-1680989,Hyderabad,Telangana
Arjun Patel,18-05-1969,+91 99923 06687,Apex Gear Works LLP,LLP,VFNFA6281Q,36VFNFA6281Q4ZI,UDYAM-TS-32-8857766,Warangal,Telangana
Meera Patel,06-02-1968,+91 75118 17447,Nova Solar Solutions Enterprises,Enterprises,KLJPP2543A,32KLJPP2543A3Z5,UDYAM-KL-13-8444849,Thiruvananthapuram,Kerala
Nikhil Verma,17-03-2000,+91 78679 51025,Precision Gear Works LLP,LLP,CFVFP1073V,27CFVFP1073V4ZC,UDYAM-MH-04-6264103,Nashik,Maharashtra
Pooja Iyer,16-11-1991,+91 66077 78980,EcoClean Infotech LLP,LLP,VJDFE4061B,23VJDFE4061B9ZP,UDYAM-MP-19-6920582,Jabalpur,Madhya Pradesh
Neha Reddy,31-08-1969,+91 70399 37943,BlueCraft Logistics LLP,LLP,WITFB1909C,29WITFB1909C9ZQ,UDYAM-KR-02-5915643,Mysuru,Karnataka
Sneha Verma,16-01-1967,+91 85921 21228,Shri Ganesh Logistics Pvt Ltd,Pvt Ltd,IIDCS2578B,09IIDCS2578B3Z0,UDYAM-UP-22-3656780,Varanasi,Uttar Pradesh
Neha Chauhan,01-08-1995,+91 92325 39590,EcoClean Metal Castings Pvt Ltd,Pvt Ltd,JPPCE8035C,32JPPCE8035C1ZT,UDYAM-KL-29-7336984,Kozhikode,Kerala
Neha Reddy,06-08-1966,+91 97800 53140,Pioneer Metal Castings Enterprises,Enterprises,EOVPR7340K,36EOVPR7340K9ZE,UDYAM-TS-10-5889170,Hyderabad,Telangana
Pooja Verma,07-05-1989,+91 67190 45715,EcoClean Agro Mills LLP,LLP,MFRFE4731Q,24MFRFE4731Q5Z2,UDYAM-GJ-14-7974889,Rajkot,Gujarat
Gaurav Nair,21-03-1996,+91 89424 55787,Apex Bio Remedies LLP,LLP,ZBLFA3337D,32ZBLFA3337D4ZO,UDYAM-KL-27-3263865,Kozhikode,Kerala
Ananya Nair,30-08-1988,+91 94680 26723,Shri Ganesh Polymers Pvt Ltd,Pvt Ltd,WONCS8174A,24WONCS8174A1ZC,UDYAM-GJ-07-3670120,Vadodara,Gujarat
Gaurav Verma,16-10-1987,+91 98363 15675,BlueCraft Logistics LLP,LLP,MHEFB6085N,23MHEFB6085N1ZG,UDYAM-MP-28-1391538,Bhopal,Madhya Pradesh
Tanvi Kulkarni,19-09-1987,+91 92201 95658,ZenPack Plastics LLP,LLP,ZIGFZ1090H,24ZIGFZ1090H9Z8,UDYAM-GJ-21-3386547,Vadodara,Gujarat
Rohan Reddy,13-11-1980,+91 82402 91464,Vanguard Polymers LLP,LLP,NKKFV6485T,09NKKFV6485T7Z6,UDYAM-UP-21-9131802,Noida,Uttar Pradesh
Sneha Das,12-05-1979,+91 91639 40390,Evergreen Plastics Enterprises,Enterprises,RFIPD5066Q,29RFIPD5066Q4ZM,UDYAM-KR-32-9425041,Bengaluru,Karnataka
Aarav Reddy,05-12-1983,+91 94035 35263,EcoClean Gear Works Pvt Ltd,Pvt Ltd,JPZCE9138U,36JPZCE9138U4Z2,UDYAM-TS-01-2308064,Hyderabad,Telangana
Priya Chatterjee,25-10-1981,+91 71418 92563,Surya Logistics Enterprises,Enterprises,XWEPC4900Y,33XWEPC4900Y3ZA,UDYAM-TN-20-1509420,Chennai,Tamil Nadu
Nikhil Chauhan,29-03-1981,+91 72971 15100,EcoClean Metal Castings Enterprises,Enterprises,WGEPC7417X,19WGEPC7417X9Z7,UDYAM-WB-08-4249746,Kolkata,West Bengal
Gaurav Verma,08-07-1978,+91 84462 16060,Shri Ganesh Gear Works Enterprises,Enterprises,RYIPV3656E,27RYIPV3656E6ZZ,UDYAM-MH-12-1635922,Mumbai,Maharashtra
Gaurav Iyer,02-10-1981,+91 93588 73814,EcoClean Techno Fab LLP,LLP,XVLFE1453K,27XVLFE1453K3ZK,UDYAM-MH-29-8420586,Pune,Maharashtra
Meera Gupta,21-03-1987,+91 69128 17557,Evergreen Infotech Pvt Ltd,Pvt Ltd,DMUCE4994G,27DMUCE4994G2Z0,UDYAM-MH-27-9660864,Pune,Maharashtra
Rohan Bose,04-12-2000,+91 81421 41119,Trident Solar Solutions LLP,LLP,VBJFT9839R,36VBJFT9839R8Z9,UDYAM-TS-07-6358576,Hyderabad,Telangana
Rahul Das,18-06-1977,+91 61406 95520,Matrix Bio Remedies Enterprises,Enterprises,ZPHPD7509K,33ZPHPD7509K1ZL,UDYAM-TN-12-1561246,Chennai,Tamil Nadu
Vikram Bose,27-04-1990,+91 94167 43308,Shri Ganesh Logistics Enterprises,Enterprises,QFKPB4821G,29QFKPB4821G6Z6,UDYAM-KR-11-8523065,Hubballi,Karnataka
Rahul Bose,12-04-1989,+91 83846 66823,Apex Techno Fab Enterprises,Enterprises,YIKPB4958U,27YIKPB4958U3ZW,UDYAM-MH-15-5855060,Nashik,Maharashtra
Rohan Verma,24-01-1971,+91 65956 43669,Nova Logistics LLP,LLP,GGFFN6732U,29GGFFN6732U3Z3,UDYAM-KR-02-3941726,Mangaluru,Karnataka
Siddharth Chatterjee,03-06-1967,+91 65150 31397,BlueCraft Bio Remedies Enterprises,Enterprises,GJWPC1613R,27GJWPC1613R1ZG,UDYAM-MH-35-2684648,Nagpur,Maharashtra
Rajesh Joshi,08-08-1987,+91 87672 66077,EcoClean Logistics Pvt Ltd,Pvt Ltd,OVXCE4245S,36OVXCE4245S8ZQ,UDYAM-TS-26-3257260,Warangal,Telangana
Meera Das,28-11-1993,+91 80283 84671,Apex Infotech Enterprises,Enterprises,QVRPD6850X,24QVRPD6850X1Z2,UDYAM-GJ-25-5133143,Surat,Gujarat
Rajesh Iyer,24-08-1980,+91 60405 43974,Nova Logistics Enterprises,Enterprises,VFBPI3245A,32VFBPI3245A2Z1,UDYAM-KL-11-4056792,Kozhikode,Kerala
Ananya Sharma,26-08-1997,+91 98391 71420,Vertex Infotech Enterprises,Enterprises,BFJPS5023J,33BFJPS5023J1ZE,UDYAM-TN-04-8500394,Salem,Tamil Nadu
Rajesh Kulkarni,16-10-1997,+91 69529 84307,BlueCraft Techno Fab Enterprises,Enterprises,EXNPK6327N,23EXNPK6327N1ZH,UDYAM-MP-05-7263370,Gwalior,Madhya Pradesh
Aarav Gupta,29-09-1992,+91 85554 24583,Lotus Logistics Enterprises,Enterprises,IBRPG9601Q,36IBRPG9601Q9ZW,UDYAM-TS-07-3783470,Hyderabad,Telangana
Siddharth Patel,17-10-1980,+91 95553 15114,Pioneer Gear Works Pvt Ltd,Pvt Ltd,ZDLCP6180E,09ZDLCP6180E5Z9,UDYAM-UP-27-9930664,Noida,Uttar Pradesh
Ananya Nair,14-11-1986,+91 75362 79963,Lotus Plastics LLP,LLP,LTVFL6269Z,33LTVFL6269Z9Z9,UDYAM-TN-18-6757419,Chennai,Tamil Nadu
Ananya Verma,14-09-1991,+91 73005 61138,Matrix Infotech LLP,LLP,VRRFM6684R,24VRRFM6684R1ZH,UDYAM-GJ-23-4823961,Ahmedabad,Gujarat
Tanvi Patel,20-10-2000,+91 82694 46241,Trident Textiles Enterprises,Enterprises,FVXPP6052U,36FVXPP6052U6ZR,UDYAM-TS-22-5611398,Hyderabad,Telangana
Rohan Reddy,05-01-1976,+91 78954 33855,Vanguard Agro Mills Pvt Ltd,Pvt Ltd,MNUCV6595R,09MNUCV6595R9ZG,UDYAM-UP-22-9257317,Noida,Uttar Pradesh
Pooja Chatterjee,27-11-1982,+91 99583 97908,Matrix Logistics LLP,LLP,MATFM4450E,33MATFM4450E9ZN,UDYAM-TN-23-7235028,Coimbatore,Tamil Nadu
Siddharth Sharma,30-11-1988,+91 77347 30200,Vanguard Bio Remedies LLP,LLP,TZIFV1043Z,29TZIFV1043Z9Z6,UDYAM-KR-09-8712079,Bengaluru,Karnataka
Vikram Bose,03-05-1985,+91 60663 83649,Apex Infotech Pvt Ltd,Pvt Ltd,LDRCA6779W,29LDRCA6779W8ZU,UDYAM-KR-21-2311524,Mangaluru,Karnataka
Nikhil Bose,09-02-1976,+91 91113 80251,Lotus Agro Mills LLP,LLP,YICFL9938L,23YICFL9938L3ZM,UDYAM-MP-05-5312474,Gwalior,Madhya Pradesh
Nikhil Joshi,16-03-1972,+91 96493 83116,Vertex Techno Fab Enterprises,Enterprises,ZDHPJ1549H,29ZDHPJ1549H1ZH,UDYAM-KR-15-4786244,Mysuru,Karnataka
Arjun Chatterjee,23-09-1974,+91 99293 66504,Vertex Bio Remedies Pvt Ltd,Pvt Ltd,ZLCCV2645G,09ZLCCV2645G5Z8,UDYAM-UP-03-8165236,Noida,Uttar Pradesh
Arjun Chauhan,22-12-1971,+91 62963 69639,Nova Solar Solutions Enterprises,Enterprises,VWPPC1965Z,29VWPPC1965Z4ZV,UDYAM-KR-17-7944682,Mysuru,Karnataka
Meera Chatterjee,22-04-1983,+91 85193 14144,Evergreen Textiles Enterprises,Enterprises,AKJPC9281N,29AKJPC9281N1ZJ,UDYAM-KR-34-8308051,Hubballi,Karnataka
Nikhil Mehta,23-10-1972,+91 95471 15612,Lotus Polymers Pvt Ltd,Pvt Ltd,WCGCL4821C,29WCGCL4821C1ZL,UDYAM-KR-33-6658996,Mangaluru,Karnataka
Rahul Iyer,09-01-2002,+91 95690 20712,Trident Techno Fab LLP,LLP,SWNFT2374D,23SWNFT2374D1ZK,UDYAM-MP-17-9190630,Bhopal,Madhya Pradesh
Pooja Chauhan,31-03-1996,+91 77401 64171,Surya Plastics LLP,LLP,QXIFS7579T,24QXIFS7579T1ZT,UDYAM-GJ-16-4709983,Rajkot,Gujarat
Meera Sharma,17-10-1978,+91 94380 51200,Vanguard Techno Fab LLP,LLP,SBDFV9395C,33SBDFV9395C9Z4,UDYAM-TN-28-4126583,Salem,Tamil Nadu
Rohan Bose,29-07-1973,+91 63055 12322,Trident Agro Mills Enterprises,Enterprises,HBZPB2546H,19HBZPB2546H4Z9,UDYAM-WB-15-7160565,Kolkata,West Bengal
Sneha Patel,18-08-1978,+91 91166 29059,Vanguard Logistics LLP,LLP,NWZFV1629O,27NWZFV1629O5ZF,UDYAM-MH-27-9447361,Mumbai,Maharashtra
Nikhil Mehta,21-05-1979,+91 81142 82238,Evergreen Metal Castings Pvt Ltd,Pvt Ltd,ITUCE9333B,36ITUCE9333B8ZN,UDYAM-TS-33-1252435,Warangal,Telangana
Siddharth Bose,20-08-1999,+91 61385 66605,Lotus Gear Works LLP,LLP,QBYFL5523R,29QBYFL5523R6ZS,UDYAM-KR-30-7344419,Hubballi,Karnataka
Rahul Chatterjee,25-06-1978,+91 68034 59942,Shri Ganesh Bio Remedies LLP,LLP,PAVFS7151Y,32PAVFS7151Y8ZZ,UDYAM-KL-18-1223091,Kozhikode,Kerala
Arjun Bose,31-05-1981,+91 75972 91446,Lotus Metal Castings LLP,LLP,LXEFL5507B,36LXEFL5507B8ZQ,UDYAM-TS-32-8824144,Warangal,Telangana
Rajesh Verma,05-03-1982,+91 97878 66012,Trident Agro Mills Enterprises,Enterprises,KMJPV1306P,24KMJPV1306P7ZP,UDYAM-GJ-26-1007406,Rajkot,Gujarat
Aarav Verma,17-12-1999,+91 96931 36671,Vertex Polymers LLP,LLP,EWSFV5033R,24EWSFV5033R5ZJ,UDYAM-GJ-06-2996188,Vadodara,Gujarat
Siddharth Verma,16-02-1995,+91 74311 32370,EcoClean Techno Fab Pvt Ltd,Pvt Ltd,MJGCE4834F,09MJGCE4834F7ZX,UDYAM-UP-29-5059020,Kanpur,Uttar Pradesh
Vikram Gupta,25-07-1990,+91 72082 51193,Apex Techno Fab Pvt Ltd,Pvt Ltd,JQYCA3074D,32JQYCA3074D9ZJ,UDYAM-KL-30-6805457,Ernakulam,Kerala
Siddharth Reddy,09-05-1993,+91 74538 13462,Nova Solar Solutions Enterprises,Enterprises,DUNPR3356V,24DUNPR3356V3ZF,UDYAM-GJ-07-6149121,Surat,Gujarat
Gaurav Patel,29-01-1965,+91 94264 01281,Vertex Plastics LLP,LLP,JCXFV8261L,33JCXFV8261L3Z5,UDYAM-TN-14-3571068,Chennai,Tamil Nadu
Nikhil Chauhan,22-08-1987,+91 69605 26309,Pioneer Solar Solutions Pvt Ltd,Pvt Ltd,UZECP1440N,32UZECP1440N5Z0,UDYAM-KL-08-3756643,Ernakulam,Kerala
Ananya Kulkarni,06-07-2000,+91 70863 37891,Vanguard Techno Fab LLP,LLP,NBNFV9291Z,36NBNFV9291Z2ZO,UDYAM-TS-26-7102704,Warangal,Telangana
Sneha Reddy,05-07-1970,+91 64825 61844,Trident Metal Castings LLP,LLP,WKRFT3142U,09WKRFT3142U8Z4,UDYAM-UP-35-9719428,Noida,Uttar Pradesh
Arjun Chauhan,17-02-1979,+91 76374 36708,Trident Polymers LLP,LLP,HBSFT5437G,32HBSFT5437G1ZE,UDYAM-KL-28-5538999,Ernakulam,Kerala
Neha Gupta,04-10-1984,+91 61746 37746,Matrix Bio Remedies Pvt Ltd,Pvt Ltd,IAUCM4376O,19IAUCM4376O7Z4,UDYAM-WB-03-2893179,Howrah,West Bengal
Meera Sharma,26-01-1970,+91 97713 55064,Vanguard Plastics Pvt Ltd,Pvt Ltd,QOTCV3279K,08QOTCV3279K3ZR,UDYAM-RJ-25-7797566,Jodhpur,Rajasthan
Rajesh Bose,13-10-1976,+91 67784 20836,Precision Bio Remedies Pvt Ltd,Pvt Ltd,VKACP9351E,33VKACP9351E8ZC,UDYAM-TN-33-9873448,Chennai,Tamil Nadu
Aarav Joshi,29-06-1988,+91 96643 98980,ZenPack Textiles LLP,LLP,UVJFZ2648W,08UVJFZ2648W9ZE,UDYAM-RJ-23-5853968,Udaipur,Rajasthan
Gaurav Das,30-11-1972,+91 95966 82005,Nova Polymers LLP,LLP,SCCFN8123J,09SCCFN8123J6Z8,UDYAM-UP-15-6418525,Kanpur,Uttar Pradesh
Rahul Singh,14-05-1993,+91 90634 40581,Vanguard Bio Remedies Enterprises,Enterprises,XGLPS2323I,32XGLPS2323I8ZQ,UDYAM-KL-04-9958218,Kozhikode,Kerala
Ananya Gupta,07-05-1997,+91 95881 07719,Nova Infotech Enterprises,Enterprises,NCGPG7595A,19NCGPG7595A1ZY,UDYAM-WB-29-8994770,Howrah,West Bengal
Siddharth Bose,13-04-1989,+91 78207 90428,Vanguard Logistics Pvt Ltd,Pvt Ltd,MGRCV8953B,27MGRCV8953B4Z4,UDYAM-MH-03-8099157,Nashik,Maharashtra
Tanvi Das,12-06-1999,+91 70823 72364,Vertex Agro Mills Pvt Ltd,Pvt Ltd,XDSCV8737B,27XDSCV8737B8ZZ,UDYAM-MH-32-8582059,Mumbai,Maharashtra
Arjun Nair,06-07-1975,+91 91358 96615,Shri Ganesh Bio Remedies Enterprises,Enterprises,YYGPN5030N,08YYGPN5030N3ZO,UDYAM-RJ-27-8185035,Kota,Rajasthan
Arjun Iyer,18-08-1983,+91 91701 43252,Surya Textiles LLP,LLP,CVEFS1950H,36CVEFS1950H3ZF,UDYAM-TS-07-1466717,Warangal,Telangana
Rohan Chauhan,22-09-1993,+91 64788 60350,Trident Infotech LLP,LLP,BIDFT7943C,27BIDFT7943C7Z6,UDYAM-MH-33-2457854,Nashik,Maharashtra
Arjun Gupta,08-04-1977,+91 75980 76863,ZenPack Logistics Enterprises,Enterprises,EYLPG6852K,19EYLPG6852K1Z3,UDYAM-WB-27-8704564,Siliguri,West Bengal
Sneha Mehta,29-08-1976,+91 85440 96567,Vanguard Polymers Enterprises,Enterprises,YDSPM9575X,29YDSPM9575X4Z5,UDYAM-KR-22-2578378,Bengaluru,Karnataka
Priya Kulkarni,06-12-1968,+91 67185 31348,Apex Logistics Enterprises,Enterprises,TVUPK1257L,27TVUPK1257L6Z0,UDYAM-MH-10-3770438,Nagpur,Maharashtra
Ananya Gupta,07-12-1994,+91 96165 38210,Pioneer Solar Solutions Enterprises,Enterprises,BPPPG2840F,29BPPPG2840F8ZK,UDYAM-KR-20-7301977,Mangaluru,Karnataka
Rahul Chatterjee,15-03-1969,+91 94810 18890,Matrix Polymers LLP,LLP,VLFFM1656L,29VLFFM1656L2ZT,UDYAM-KR-09-8136624,Hubballi,Karnataka
Siddharth Reddy,03-09-1993,+91 77643 84864,ZenPack Techno Fab Enterprises,Enterprises,JOXPR8240N,08JOXPR8240N5ZJ,UDYAM-RJ-06-4893214,Jodhpur,Rajasthan
Rahul Reddy,10-10-1968,+91 77283 88356,ZenPack Textiles LLP,LLP,XQZFZ3801D,29XQZFZ3801D7Z9,UDYAM-KR-34-4724231,Hubballi,Karnataka
Meera Iyer,27-05-1989,+91 72717 55323,ZenPack Techno Fab Enterprises,Enterprises,PAYPI2224W,19PAYPI2224W6ZX,UDYAM-WB-05-6473115,Kolkata,West Bengal
Sneha Reddy,03-09-1981,+91 79217 12696,Vanguard Logistics Pvt Ltd,Pvt Ltd,QXUCV4341B,27QXUCV4341B1ZI,UDYAM-MH-09-7535908,Nashik,Maharashtra
Siddharth Mehta,12-09-1982,+91 62788 38292,Vertex Logistics Enterprises,Enterprises,NHJPM3150S,32NHJPM3150S1ZS,UDYAM-KL-16-9079295,Ernakulam,Kerala
Pooja Nair,02-06-1975,+91 93016 55191,Lotus Infotech LLP,LLP,ABNFL7176J,27ABNFL7176J9ZD,UDYAM-MH-28-9337756,Nagpur,Maharashtra
Ananya Singh,03-03-1995,+91 99265 89046,Surya Plastics Enterprises,Enterprises,GJXPS8993S,33GJXPS8993S3Z3,UDYAM-TN-32-6258114,Chennai,Tamil Nadu
Neha Sharma,09-11-1985,+91 73143 91023,BlueCraft Logistics Enterprises,Enterprises,CGEPS3275Z,32CGEPS3275Z2Z8,UDYAM-KL-20-8268452,Kozhikode,Kerala
Tanvi Reddy,28-03-1978,+91 99715 83327,Matrix Metal Castings LLP,LLP,PSNFM1641D,08PSNFM1641D7ZC,UDYAM-RJ-16-5978602,Udaipur,Rajasthan
Rahul Joshi,16-12-1991,+91 91429 49662,EcoClean Gear Works Pvt Ltd,Pvt Ltd,MIYCE9397J,19MIYCE9397J5Z7,UDYAM-WB-31-6265460,Siliguri,West Bengal
Rajesh Verma,07-07-1974,+91 74928 20840,Matrix Techno Fab Enterprises,Enterprises,URPPV7889G,24URPPV7889G5Z8,UDYAM-GJ-29-2700519,Surat,Gujarat
Nikhil Reddy,02-02-1992,+91 92429 84332,Surya Logistics Pvt Ltd,Pvt Ltd,KNYCS5919L,33KNYCS5919L2ZA,UDYAM-TN-03-1302427,Coimbatore,Tamil Nadu
Rajesh Chauhan,20-10-1993,+91 96121 81447,Precision Gear Works Enterprises,Enterprises,CCRPC6024H,09CCRPC6024H5Z4,UDYAM-UP-10-5548007,Kanpur,Uttar Pradesh
Arjun Nair,26-03-1975,+91 81025 94777,Apex Metal Castings LLP,LLP,NTYFA7247O,19NTYFA7247O2ZO,UDYAM-WB-18-9793993,Howrah,West Bengal
Arjun Verma,21-04-1965,+91 81231 15077,Lotus Agro Mills Pvt Ltd,Pvt Ltd,BSGCL1983O,33BSGCL1983O4Z7,UDYAM-TN-12-3700562,Coimbatore,Tamil Nadu
Ananya Joshi,07-05-1986,+91 82635 40787,Evergreen Metal Castings Pvt Ltd,Pvt Ltd,WKICE9645Q,32WKICE9645Q5ZQ,UDYAM-KL-17-2922172,Ernakulam,Kerala
Nikhil Singh,04-11-1992,+91 75683 58749,Evergreen Agro Mills LLP,LLP,REIFE7892V,24REIFE7892V4ZJ,UDYAM-GJ-19-2130301,Rajkot,Gujarat
Arjun Singh,16-04-1971,+91 84140 34483,Pioneer Metal Castings Pvt Ltd,Pvt Ltd,YDICP2422R,23YDICP2422R3Z8,UDYAM-MP-08-3704710,Bhopal,Madhya Pradesh
Pooja Joshi,27-10-2000,+91 81325 63557,Matrix Infotech LLP,LLP,KRHFM1102Z,19KRHFM1102Z1Z5,UDYAM-WB-17-4048286,Siliguri,West Bengal
Arjun Nair,25-12-1968,+91 64134 09151,Shri Ganesh Polymers Enterprises,Enterprises,ZKRPN5525O,09ZKRPN5525O8ZV,UDYAM-UP-04-2195456,Varanasi,Uttar Pradesh
Aarav Chatterjee,27-09-1997,+91 95262 87531,EcoClean Solar Solutions Enterprises,Enterprises,OIJPC4295Z,33OIJPC4295Z5ZJ,UDYAM-TN-19-6949664,Coimbatore,Tamil Nadu
Priya Kulkarni,20-10-1997,+91 85670 01269,Surya Polymers LLP,LLP,EIJFS7298T,32EIJFS7298T5ZD,UDYAM-KL-02-5024479,Ernakulam,Kerala
Sneha Iyer,08-06-1994,+91 87063 30183,Trident Techno Fab LLP,LLP,PPRFT3156D,27PPRFT3156D7Z4,UDYAM-MH-30-2638274,Mumbai,Maharashtra
Priya Gupta,25-05-1989,+91 73835 36184,Precision Techno Fab Enterprises,Enterprises,AYDPG1282X,24AYDPG1282X1Z9,UDYAM-GJ-32-7664588,Ahmedabad,Gujarat
Sneha Chatterjee,01-06-1968,+91 69369 46338,Vertex Polymers LLP,LLP,DNSFV9403E,09DNSFV9403E4ZK,UDYAM-UP-33-6173168,Kanpur,Uttar Pradesh
Gaurav Patel,27-08-1994,+91 74696 30402,Vanguard Metal Castings Enterprises,Enterprises,PFJPP4523A,36PFJPP4523A5ZI,UDYAM-TS-01-9019998,Warangal,Telangana
Arjun Reddy,15-10-1986,+91 93263 01508,Vanguard Textiles Pvt Ltd,Pvt Ltd,LFBCV9944U,09LFBCV9944U4ZM,UDYAM-UP-03-5036335,Noida,Uttar Pradesh
Sneha Chatterjee,02-09-1999,+91 64770 68963,Vanguard Polymers Pvt Ltd,Pvt Ltd,JHOCV4221G,24JHOCV4221G2ZW,UDYAM-GJ-32-6575759,Rajkot,Gujarat
Ananya Mehta,23-05-1992,+91 72896 64754,Trident Textiles LLP,LLP,JCBFT5465S,19JCBFT5465S2ZW,UDYAM-WB-12-6932796,Kolkata,West Bengal
Meera Chauhan,18-01-1985,+91 88520 07422,ZenPack Logistics Pvt Ltd,Pvt Ltd,VRUCZ1454T,36VRUCZ1454T7ZD,UDYAM-TS-19-7061054,Nizamabad,Telangana
Neha Kulkarni,21-05-1973,+91 90268 56498,Pioneer Plastics Pvt Ltd,Pvt Ltd,KZSCP9805Y,08KZSCP9805Y5ZW,UDYAM-RJ-29-9242659,Kota,Rajasthan
Rohan Gupta,02-02-1990,+91 88876 96349,Precision Logistics LLP,LLP,KWNFP7652A,23KWNFP7652A4ZG,UDYAM-MP-05-2730437,Indore,Madhya Pradesh
Arjun Chauhan,04-10-1991,+91 72732 19292,Apex Techno Fab LLP,LLP,MHXFA7618U,24MHXFA7618U8ZM,UDYAM-GJ-34-9899462,Vadodara,Gujarat
Rohan Iyer,06-04-2001,+91 87659 13504,BlueCraft Plastics Pvt Ltd,Pvt Ltd,RCWCB9375H,33RCWCB9375H1ZG,UDYAM-TN-11-6140852,Chennai,Tamil Nadu
Neha Patel,02-08-1998,+91 78782 77741,Shri Ganesh Metal Castings Pvt Ltd,Pvt Ltd,IEUCS9766O,19IEUCS9766O4ZA,UDYAM-WB-18-5311964,Howrah,West Bengal
Gaurav Patel,12-12-1969,+91 99117 28150,Trident Infotech LLP,LLP,UTTFT2611R,09UTTFT2611R5ZX,UDYAM-UP-29-3173085,Lucknow,Uttar Pradesh
Aarav Bose,19-11-1999,+91 82163 85888,Trident Metal Castings Enterprises,Enterprises,VEMPB1169Z,33VEMPB1169Z5ZV,UDYAM-TN-29-4478039,Chennai,Tamil Nadu
Pooja Chauhan,09-02-1983,+91 64815 98996,Nova Infotech LLP,LLP,XUWFN7521P,19XUWFN7521P5Z9,UDYAM-WB-23-1267636,Siliguri,West Bengal
Rohan Das,01-11-1986,+91 71574 64647,Vanguard Agro Mills LLP,LLP,BDUFV8177Q,36BDUFV8177Q9ZX,UDYAM-TS-17-1100275,Warangal,Telangana
Pooja Das,13-10-1978,+91 74195 03169,Apex Polymers Pvt Ltd,Pvt Ltd,NKYCA6114B,27NKYCA6114B3ZI,UDYAM-MH-06-9733881,Nashik,Maharashtra
Nikhil Gupta,31-05-1986,+91 62812 01195,Pioneer Bio Remedies Enterprises,Enterprises,JREPG6270H,09JREPG6270H4ZE,UDYAM-UP-19-6141870,Varanasi,Uttar Pradesh
Rahul Bose,12-07-1998,+91 85738 00017,Lotus Logistics LLP,LLP,CCBFL3440B,36CCBFL3440B5Z1,UDYAM-TS-33-2019142,Nizamabad,Telangana
Ananya Nair,13-11-1978,+91 62503 10729,BlueCraft Metal Castings LLP,LLP,QGEFB4479L,33QGEFB4479L7ZI,UDYAM-TN-17-8815069,Madurai,Tamil Nadu
Ananya Das,08-04-1987,+91 78184 58262,Lotus Agro Mills Pvt Ltd,Pvt Ltd,PHPCL9398P,08PHPCL9398P5ZG,UDYAM-RJ-21-6454717,Jaipur,Rajasthan
Rahul Chatterjee,12-09-1976,+91 65286 33653,EcoClean Metal Castings Pvt Ltd,Pvt Ltd,SEBCE6326J,33SEBCE6326J3ZM,UDYAM-TN-29-6049383,Salem,Tamil Nadu
Gaurav Singh,27-08-1969,+91 81241 00518,Apex Infotech Enterprises,Enterprises,CCLPS7832Y,19CCLPS7832Y3Z2,UDYAM-WB-11-5427832,Howrah,West Bengal
Siddharth Iyer,03-01-1996,+91 76171 41567,EcoClean Solar Solutions Enterprises,Enterprises,FUGPI6411O,29FUGPI6411O5ZP,UDYAM-KR-02-9779547,Mysuru,Karnataka
Arjun Chauhan,10-06-1969,+91 84955 23420,Matrix Plastics Enterprises,Enterprises,HHGPC7661E,32HHGPC7661E3ZA,UDYAM-KL-04-1352676,Kozhikode,Kerala
Priya Singh,05-05-1983,+91 71335 61813,Precision Bio Remedies Enterprises,Enterprises,SVVPS6003H,24SVVPS6003H3ZM,UDYAM-GJ-17-6848105,Ahmedabad,Gujarat
Sneha Nair,11-05-1989,+91 74815 38922,Pioneer Textiles Pvt Ltd,Pvt Ltd,XXNCP2924B,23XXNCP2924B8ZA,UDYAM-MP-24-3203129,Indore,Madhya Pradesh
